created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
Wed Dec 06 02:03:21 +0000 2023,1732219143850508649,#BTS: life goes on https://t.co/IOVPevXFpU,98,13,1811,5014,en,1255989711421747202,1732219143850508649,agustpics,https://twitter.com/agustpics/status/1732219143850508649,https://pbs.twimg.com/ext_tw_video_thumb/1732219104419852288/pu/img/0DntHZ3-WeDJaEgE.jpg,credits if repost
Thu Nov 30 14:56:27 +0000 2023,1730239374812426528,WHO MADE THIS EDIT😭😂😂😂  #JinJikook #JIMIN #JIN #KimSeokjin #JUNGKOOK #jeonjungkook #BTS #BTSJIN  #BTSJIMIN #btsjungkook #jikook #kookmin https://t.co/eJWkWPfe6e,4,4,89,338,en,1685621711780347904,1730239374812426528,fujing2397,https://twitter.com/fujing2397/status/1730239374812426528,https://pbs.twimg.com/ext_tw_video_thumb/1730239297721126912/pu/img/Awbt-AFHeWdaL5Rk.jpg,Magic shop💜
Tue Dec 05 16:34:03 +0000 2023,1732075873883267457,Why isn't anyone talking about what 🐻 said? Boys were talking about “mma”  &gt; JK and JM asked 🐨 not to spoiler anything to us~ And at that moment  Tae turned to JM and said that THE GIFT was awesome. (more in the comments) #jikook #kookmin #taehyung #namjoon #bts https://t.co/63eMGhoNXj,8,2,37,362,en,1502371684610977792,1732075873883267457,reekhh,https://twitter.com/reekhh/status/1732075873883267457,https://pbs.twimg.com/ext_tw_video_thumb/1732075849204084736/pu/img/wT21CNfqZ2tvbQAR.jpg,Seoul 
Tue Dec 05 17:21:12 +0000 2023,1732087738436874501,*Namjoon spills some tea kk 🐰: you can’t talk about it 🐥: hey  be quiet! 🐻 &gt; 🐥: …the gift was amazing 🐰: please  wait for it! 🐨: looks like you’ve done something fun… 🐰: we… 🐰: yeah  recently (spoiler) #jikook #kookmin #jimin #jungkook #bts https://t.co/fGx3kerT08,6,1,28,199,en,1502371684610977792,1732087738436874501,reekhh,https://twitter.com/reekhh/status/1732087738436874501,https://pbs.twimg.com/ext_tw_video_thumb/1732085406282252288/pu/img/8bdVwiTfq_Pef6pn.jpg,Seoul 
Wed Dec 06 10:01:06 +0000 2023,1732339373809467495,#Jungkook officially becomes the longest-charting K-pop soloist in Billboard Hot 100 history  surpassing PSY (51 Weeks)  He joins #BTS as the only K-Acts to reach this milestone. https://t.co/qhRlxSgYQM,1,5,69,134,en,1640913701808078851,1732339373809467495,TheePopCore,https://twitter.com/TheePopCore/status/1732339373809467495,https://pbs.twimg.com/media/GAqA8ekW4AAVksk.jpg,
Tue Dec 05 12:02:38 +0000 2023,1732007570842206469,Jimin came to eat  Jungkook and his hoodie  Taehyung looking like a 12 years old cos of his hair cut 😭😭and RM as always their DAD😂😂😂😂 See you in 2025 and stay Healthy   BTS Borahae 💜💜💜  #BTS #BTSArmy 💜💜 https://t.co/wRdIVYEfNY,2,1,8,50,en,717625098975453184,1732007570842206469,dee_toria1226,https://twitter.com/dee_toria1226/status/1732007570842206469,https://pbs.twimg.com/ext_tw_video_thumb/1732007413291651072/pu/img/dwGsDvy4n00S4VhI.jpg,Near You! 
Tue Dec 05 14:47:30 +0000 2023,1732049062160216398,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (8) #JK #정국 #JUNGKOOK #BTS #방탄소년단 https://t.co/XBHMOqJWmT,18,2,1595,6141,en,1324060291903057920,1732049062160216398,amabile_suga,https://twitter.com/amabile_suga/status/1732049062160216398,https://pbs.twimg.com/media/GAl5cCCagAE3uNy.jpg,
Tue Dec 05 15:02:17 +0000 2023,1732052780905357352,#IU will make a mega comeback in the 1st half of 2024  and #BTS’ #V will co-star in the hugely awaited MV of #IU's new Era! 👏👩‍🎤🆕💿💥2⃣0⃣2⃣4⃣➕🎥🌟👨‍🎤🔥👑👑🤍💜 @_IUofficial https://t.co/VsGAW6yBWQ,22,40,1399,4497,en,461688027,1732052780905357352,WORLDMUSICAWARD,https://twitter.com/WORLDMUSICAWARD/status/1732052780905357352,https://pbs.twimg.com/media/GAl5n9FWQAA8gsG.jpg,
Tue Dec 05 15:46:48 +0000 2023,1732063983702814901,JUNGKOOK IS BALD 🥹 ahhh ima miss them so much till 2025 in this bangtan shit for life 🫶🫶   #BTS https://t.co/V8HV0L6QIR,1,1,27,147,en,1714040668312707072,1732063983702814901,cutieeuijoo,https://twitter.com/cutieeuijoo/status/1732063983702814901,https://pbs.twimg.com/ext_tw_video_thumb/1732063894007644160/pu/img/_yqjgsvFnQdK5zz5.jpg,
Tue Nov 28 17:54:07 +0000 2023,1729559309493661812,These two are in their own zone 😜❤️👅💜  #taekook #taekookau #BTS #JungKook_GOLDEN #TAEHYUNG https://t.co/oaKnQneU1U,0,0,7,106,en,1344170102581850112,1729559309493661812,AtiaAlyas,https://twitter.com/AtiaAlyas/status/1729559309493661812,https://pbs.twimg.com/ext_tw_video_thumb/1729558452228546561/pu/img/UOP3186FnoelknVT.jpg,
